breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,height_range_in,size
Afador,https://dogtime.com/dog-breeds/afador,2,1,1,3,3,4,2,3,4,2,3,1,3,4,3,2,3,4,4,4,1,5,4,4,4,4,4,4,4,4,3,Mixed Breed Dogs,20 to 29 inches,50 to 75 pounds,10 to 12 years,"20,29",5
Affenhuahua,https://dogtime.com/dog-breeds/affenhuahua,3,4,4,4,1,2,3,3,4,3,2,2,3,2,1,4,4,5,1,3,3,3,4,2,4,2,3,4,3,3,3,Mixed Breed Dogs,6 to 12 inches,4 to 12 pounds,13 to 18 years,"6,12",1
Affenpinscher,https://dogtime.com/dog-breeds/affenpinscher,3,5,4,3,1,3,3,3,5,1,4,3,2,1,1,3,4,3,1,3,2,4,4,3,2,2,4,4,3,3,4,Companion Dogs,9 inches to 11 inches tall at the shoulder,7 to 9 pounds,12 to 14 years,"9,11",1
Afghan Hound,https://dogtime.com/dog-breeds/afghan-hound,4,5,3,5,2,5,5,4,5,5,4,2,2,4,1,1,3,1,4,3,1,4,3,5,2,5,4,5,2,4,4,Hound Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",50 to 60 pounds,10 to 12 years,"12,16",3
Airedale Terrier,https://dogtime.com/dog-breeds/airedale-terrier,2,1,2,3,2,3,3,4,4,4,4,3,3,2,1,2,3,4,3,5,4,5,5,5,4,4,5,5,3,5,5,Terrier Dogs,"1 foot, 9 inches to 1 foot, 11 inches tall at the shoulder",40 to 65 pounds,10 to 13 years,"21,23",4
Akbash,https://dogtime.com/dog-breeds/akbash,3,1,2,3,4,4,2,4,5,4,3,2,4,4,2,3,4,4,4,3,3,4,3,1,3,1,2,2,2,2,3,Working Dogs,27 to 34 inches,75 to 140 pounds,10 to 12 years,"27,34",5
Akita,https://dogtime.com/dog-breeds/akita,3,2,2,5,1,5,2,2,5,1,1,2,4,5,5,1,4,4,4,4,2,3,3,4,5,4,4,4,3,4,5,Working Dogs,"2 feet to 2 feet, 4 inches tall at the shoulder",70 to 130 pounds,10 to 12 years,"24,28",5
Alaskan Klee Kai,https://dogtime.com/dog-breeds/alaskan-klee-kai,3,3,2,4,2,5,2,3,4,3,2,2,3,4,2,4,4,2,2,4,4,4,2,5,3,4,4,4,2,4,4,Companion Dogs,13 to 17 inches,10 to 15 pounds,12 to 16 years,"13,17",2
Alaskan Malamute,https://dogtime.com/dog-breeds/alaskan-malamute,2,1,1,4,1,5,2,4,4,3,2,5,3,5,1,1,4,3,4,4,4,4,3,4,5,5,5,5,5,5,5,Working Dogs,"1 foot, 11 inches to 2 feet, 1 inch tall at the shoulder",75 to 100 pounds,12 to 15 years,"23,25",5
American Bulldog,https://dogtime.com/dog-breeds/american-bulldog,2,1,1,4,1,2,2,3,5,4,2,2,3,1,4,4,3,2,4,3,4,3,2,4,2,3,4,4,4,4,4,Working Dogs,20 to 28 inches,60 to 120 pounds,10 to 16 years,"20,28",5
American English Coonhound,https://dogtime.com/dog-breeds/american-english-coonhound,3,1,2,5,2,4,4,5,5,5,4,5,3,3,1,5,4,3,3,5,5,4,3,5,5,5,5,5,5,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 2 inches tall at the shoulder",40 to 65 pounds,10 to 12 years,"12,26",3
American Eskimo Dog,https://dogtime.com/dog-breeds/american-eskimo-dog,4,5,4,4,2,5,3,5,5,5,5,4,3,5,1,3,5,4,2,4,5,4,3,3,4,3,4,5,3,4,5,Companion Dogs,"1 foot, 3 inches to 1 foot, 7 inches tall at the shoulder",Starts at 30 pounds,12 to 15 years,"15,19",3
American Foxhound,https://dogtime.com/dog-breeds/american-foxhound,2,1,2,2,1,4,4,5,4,5,5,4,4,3,1,5,5,5,3,4,2,3,3,4,5,5,5,5,4,5,5,Hound Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",40 to 60 pounds,12 to 13 years,"21,25",4
American Leopard Hound,https://dogtime.com/dog-breeds/american-leopard-hound,3,2,4,3,3,4,4,4,5,4,4,3,3,2,2,4,4,2,4,4,4,4,3,4,4,4,4,4,3,4,4,Hound Dogs,21 to 27 Inches.,35 to 75 pounds. ,12 to 15 years. ,"21,27",4
American Pit Bull Terrier,https://dogtime.com/dog-breeds/american-pit-bull-terrier,3,3,2,4,1,2,3,4,5,5,1,5,3,4,1,5,4,3,3,4,4,4,5,3,3,4,5,4,5,4,5,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",30 to 85 pounds,12 to 16 years,"17,19",3
American Pugabull,https://dogtime.com/dog-breeds/american-pugabull,3,3,3,4,1,2,3,4,5,4,3,3,3,3,3,4,2,3,3,3,3,3,2,4,4,2,4,4,4,3,5,Mixed Breed Dogs,12 to 20 inches,25 to 70 pounds ,12 to 14 years ,"12,20",3
American Staffordshire Terrier,https://dogtime.com/dog-breeds/american-staffordshire-terrier,2,2,2,3,2,2,3,4,4,4,2,4,3,2,3,4,3,2,3,4,4,4,5,3,4,3,4,3,5,3,4,Terrier Dogs,16 to 19 inches,40 to 60 pounds,10 to 15 years,"16,19",3
American Water Spaniel,https://dogtime.com/dog-breeds/american-water-spaniel,3,2,2,5,1,2,4,4,5,5,2,3,3,3,1,3,3,3,3,4,4,3,5,2,3,5,4,5,2,5,5,Sporting Dogs,"1 foot, 3 inches to 1 foot, 6 inches tall at the shoulder",25 to 45 pounds,12 to 15 years,"15,18",3
Anatolian Shepherd Dog,https://dogtime.com/dog-breeds/anatolian-shepherd-dog,3,1,2,4,3,5,3,2,3,2,2,1,3,2,3,4,3,3,5,3,4,4,2,2,2,4,3,3,3,3,3,Working Dogs,"2 feet, 3 inches to 2 feet, 5 inches tall at the shoulder",80 to 150 pounds,11 to 13 years,"27,29",5
Appenzeller Sennenhunde,https://dogtime.com/dog-breeds/appenzeller-sennenhunde,3,1,3,3,1,5,4,4,5,5,3,2,3,3,1,5,4,3,3,4,4,4,5,3,5,3,4,4,4,5,4,Herding Dogs,"1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder",48 to 55 pounds,9 to 12 years,19 to 22,3
Auggie,https://dogtime.com/dog-breeds/auggie,3,2,3,4,3,4,3,5,5,5,5,4,3,4,1,2,3,4,3,4,5,5,3,3,4,3,5,5,4,5,5,Mixed Breed Dogs,10 to 13 inches,20 to 30 pounds,12 to 15 years,10 to 13,2
Aussiedoodle,https://dogtime.com/dog-breeds/aussiedoodle,3,2,3,3,2,3,3,4,5,4,4,4,4,3,4,3,4,4,3,4,5,5,3,3,2,3,5,5,4,5,5,Mixed Breed Dogs,10 to 15 inches,25 to 70 pounds,10 to 13 years,10 to 15,2
Aussiepom,https://dogtime.com/dog-breeds/aussiepom,3,3,2,3,2,3,3,4,4,3,4,4,3,3,2,2,4,4,3,3,4,4,4,2,3,2,4,5,3,4,5,Mixed Breed Dogs,11 to 17 inches,10 to 30 pounds,12 to 15 years,11 to 17,2
Australian Cattle Dog,https://dogtime.com/dog-breeds/australian-cattle-dog,3,2,1,4,3,4,4,4,5,3,4,2,3,3,1,4,5,4,3,4,5,5,5,4,2,4,5,5,5,5,5,Herding Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 50 pounds,12 to 15 years,17 to 20,3
Australian Kelpie,https://dogtime.com/dog-breeds/australian-kelpie,3,2,2,4,2,3,5,3,4,2,3,2,3,3,1,4,3,2,3,5,5,5,5,4,4,4,4,5,3,5,4,Herding Dogs,15 to 20 inches,25 to 46 pounds,10 to 15 years,15 to 20,3
Australian Retriever,https://dogtime.com/dog-breeds/australian-retriever,3,1,4,3,2,4,4,4,4,4,3,3,3,3,2,3,4,4,4,3,4,4,2,3,2,4,4,5,3,5,4,Mixed Breed Dogs,19 to 23 inches,25 to 60 pounds,12 to 15 years,19 to 23,3
Australian Shepherd,https://dogtime.com/dog-breeds/australian-shepherd,3,1,2,5,2,4,4,4,5,4,5,3,2,3,1,1,2,4,3,5,5,5,4,4,4,5,5,5,4,5,5,Herding Dogs,"1 foot, 6 inches to 1 foot, 11 inches tall at the shoulder",40 to 65 pounds,12 to 15 years,"18,23",3
Australian Shepherd Husky,https://dogtime.com/dog-breeds/australian-shepherd-husky,3,1,2,4,1,5,4,3,5,3,2,2,3,4,2,3,3,4,4,4,4,5,3,4,5,5,5,5,5,5,5,Mixed Breed Dogs,18 to 25 inches,40 to 65 pounds,12 to 15 years,"18,25",3
Australian Shepherd Lab Mix,https://dogtime.com/dog-breeds/australian-shepherd-lab-mix,4,2,2,5,4,5,4,4,4,4,4,4,4,4,2,4,4,3,4,4,5,5,4,3,3,5,5,5,5,5,5,Mixed Breed Dogs,22 to 25 inches ,40 to 80 pounds,12 to 15 years ,"22,25",4
Australian Shepherd Pit Bull Mix,https://dogtime.com/dog-breeds/australian-shepherd-pit-bull-mix,3,2,3,3,2,3,3,4,4,4,3,3,4,4,2,3,4,5,4,3,4,4,3,4,2,3,4,4,3,4,4,Mixed Breed Dogs,17 to 23 inches,30 to 85 pounds,10 to 16 years,"17,23",3
Australian Terrier,https://dogtime.com/dog-breeds/australian-terrier,3,5,3,2,2,3,4,3,4,3,2,3,3,1,1,5,5,3,1,4,3,4,1,5,5,4,5,5,5,4,5,Terrier Dogs,10 inches to 11 inches tall at the shoulder,14 to 16 pounds,Up to 15 years,"10,11",2
Azawakh,https://dogtime.com/dog-breeds/azawakh,3,5,2,3,3,1,5,3,4,2,3,2,3,3,1,5,3,3,3,3,3,3,3,4,1,2,3,3,2,4,3,Hound Dogs,"1 foot, 11 inches to 2 feet, 5 inches tall at the shoulder",33 to 55 pounds,12 to 15 years,"23,29",4
Barbet,https://dogtime.com/dog-breeds/barbet,3,3,2,3,1,4,4,4,5,4,4,3,2,2,1,1,4,3,3,3,4,4,2,3,3,3,4,5,3,3,4,Sporting Dogs,"1 foot, 8 inches to 2 feet, 1 inch tall at the shoulder",37 to 62 pounds,13 to 15 years,"20,25",4
Basenji,https://dogtime.com/dog-breeds/basenji,4,5,4,3,4,1,4,5,5,5,4,5,3,1,5,5,2,2,2,4,1,4,5,5,1,5,3,5,1,5,2,Hound Dogs,"1 foot, 4 inches to 1 foot, 5 inches tall at the shoulder",22 to 24 pounds,10 to 12 years,"16,17",3
Bassador,https://dogtime.com/dog-breeds/bassador,3,2,2,3,3,4,4,3,3,3,3,3,4,5,4,3,3,3,4,3,2,3,2,4,3,3,3,3,2,4,3,Mixed Breed Dogs,13 to 20 inches,45 to 70 pounds,10 to 12 years,"13,20",3
Basset Fauve de Bretagne,https://dogtime.com/dog-breeds/basset-fauve-de-bretagne,3,4,4,3,3,3,1,4,5,4,4,3,3,2,1,4,5,1,2,3,3,5,3,3,2,1,3,4,2,4,3,Hound Dogs,12 to 15 inches. ,25 to 35 pounds. ,12 to 15 years. ,"12,15",2
Basset Hound,https://dogtime.com/dog-breeds/basset-hound,3,5,4,4,3,2,2,5,5,5,5,5,4,4,4,5,1,5,2,4,2,4,3,5,4,5,2,2,2,2,2,Hound Dogs,"Up to 1 foot, 2 inches tall at the shoulder",50 to 65 pounds,10 to 12 years,"11,14",2
Basset Retriever,https://dogtime.com/dog-breeds/basset-retriever,3,3,3,2,2,4,4,4,4,4,3,4,3,2,2,4,4,4,3,4,4,5,3,5,2,4,4,4,2,4,4,Mixed Breed Dogs,10 to 14 inches,40 to 70 pounds,10 to 12 years,"10,14",2
Bavarian Mountain Scent Hound,https://dogtime.com/dog-breeds/bavarian-mountain-scent-hound,2,2,3,2,2,2,3,4,5,4,3,2,3,1,2,3,4,2,3,3,3,4,2,4,2,2,4,4,2,4,4,Hound Dogs,17 to 20 inches.,44 to 55 pounds. ,10 to 14 years. ,"17,20",3
Beabull,https://dogtime.com/dog-breeds/beabull,3,4,3,4,4,2,2,4,5,5,4,3,4,4,3,5,3,4,3,4,3,3,4,4,4,4,4,3,4,3,5,Mixed Breed Dogs,12 to 16 inches,30 to 60 pounds,10 to 13 years,"12,16",2
Beagle,https://dogtime.com/dog-breeds/beagle,3,4,3,4,1,2,4,5,5,5,5,5,3,3,1,4,1,5,2,4,1,4,3,5,5,5,5,4,5,4,5,Hound Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",18 to 30 pounds,10 to 15 years,"13,15",2
Beaglier,https://dogtime.com/dog-breeds/beaglier,3,5,4,4,1,2,3,5,5,5,5,5,3,3,1,4,2,5,2,3,2,4,3,3,4,4,4,3,3,4,5,Mixed Breed Dogs,12 to 16 inches ,10 to 20 pounds,10 to 15 years ,"12,16",2
Bearded Collie,https://dogtime.com/dog-breeds/bearded-collie,3,3,4,4,2,4,3,5,5,4,5,4,3,4,1,2,3,4,3,4,5,4,3,3,3,5,4,4,4,4,5,Herding Dogs,"1 foot, 8 inches to 1 foot, 10 inches tall at the shoulder",45 to 55 pounds,12 to 14 years,"20,22",4
Bedlington Terrier,https://dogtime.com/dog-breeds/bedlington-terrier,4,4,4,3,3,4,3,5,5,4,4,5,3,5,1,1,4,3,3,4,3,5,4,5,3,4,4,4,2,4,5,Terrier Dogs,"1 foot, 3 inches to 1 foot, 4 inches tall at the shoulder",17 to 23 pounds,14 to 16 years,"15,16",3
Belgian Malinois,https://dogtime.com/dog-breeds/belgian-malinois,3,1,3,5,3,4,4,4,5,4,2,3,3,2,1,5,4,2,4,4,5,5,3,4,2,3,5,5,4,5,5,Herding Dogs,22 inches to 26 inches tall at the shoulder,40 to 80 pounds,12 to 14 years,"22,26",4
Belgian Sheepdog,https://dogtime.com/dog-breeds/belgian-sheepdog,4,3,3,5,3,4,3,5,4,5,5,4,3,5,1,3,3,2,4,4,5,5,2,5,1,4,5,5,3,5,5,Herding Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",60 to 75 pounds,10 to 12 years,"22,26",4
Belgian Tervuren,https://dogtime.com/dog-breeds/belgian-tervuren,3,3,3,5,1,4,3,3,4,3,3,3,3,4,1,3,3,2,4,4,5,5,2,2,5,4,4,5,3,4,5,Herding Dogs,"1 foot, 9 inches to 2 feet, 2 inches tall at the shoulder",40 to 70 pounds,10 to 12 years,"21,26",4
Berger Picard,https://dogtime.com/dog-breeds/berger-picard,4,3,4,5,3,4,3,4,5,5,3,2,4,4,1,5,5,3,4,3,4,4,2,3,2,2,5,5,3,5,5,Herding Dogs,"1 foot, 9 inches to 2 feet, 1 inch tall at the shoulder",50 to 70 pounds,13 to 14 years,"21,25",4
Bernedoodle - Standard,https://dogtime.com/dog-breeds/bernedoodle,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,Mixed Breed Dogs,From 23 to 29 inches tall at the shoulder,From 70 to 90 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,"23,29",4
Bernedoodle - Small,https://dogtime.com/dog-breeds/bernedoodle,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,Mixed Breed Dogs,18 to 22 inches,From 25 to 49 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,"18,22",3
Bernedoodle - Tiny,https://dogtime.com/dog-breeds/bernedoodle,3,3,3,4,2,5,3,4,5,5,4,3,3,1,2,3,4,3,3,4,4,5,4,3,3,3,4,4,3,3,5,Mixed Breed Dogs,10 to 17 inches,From 10 to 24 pounds,12 to 18 years. Tiny Bernedoodles tend to live longer than standard.,"10,17",2
Bernese Mountain Dog,https://dogtime.com/dog-breeds/bernese-mountain-dog,2,1,2,4,1,5,1,5,5,5,3,5,4,5,4,3,1,4,5,4,4,4,5,5,4,3,4,4,3,3,4,Working Dogs,23 to 28 inches,70 to 115 pounds,6 to 10 years,"23,28",5
Bichon Frise,https://dogtime.com/dog-breeds/bichon-frise,4,5,5,5,1,3,4,5,5,4,4,5,2,2,1,1,4,4,2,3,5,4,3,4,2,2,4,5,3,3,5,Companion Dogs,9 inches to 11 inches tall at the shoulder,7 to 12 pounds,12 to 15 years,"9,11",2
Biewer Terrier,https://dogtime.com/dog-breeds/biewer-terrier,3,5,3,3,3,2,3,4,5,4,3,3,2,1,1,4,4,3,1,3,3,4,3,1,3,1,4,5,3,3,4,Terrier Dogs,7 to 11 inches,4 to 8 pounds,12 to 15 years,"7,11",1
Black and Tan Coonhound,https://dogtime.com/dog-breeds/black-and-tan-coonhound,3,1,2,3,2,4,4,5,5,5,5,5,4,5,3,4,5,5,3,4,2,5,1,5,5,5,5,5,5,5,5,Hound Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",75 to 100 pounds,10 to 12 years,"23,27",5
Black Mouth Cur,https://dogtime.com/dog-breeds/black-mouth-cur,3,1,2,4,2,3,3,4,5,5,3,3,3,3,2,5,4,2,4,4,3,4,3,5,4,4,4,4,3,5,4,Working Dogs,16 to 25 inches,40 to 95 pounds,12 to 18 years,"16,25",4
Black Russian Terrier,https://dogtime.com/dog-breeds/black-russian-terrier,3,3,2,4,1,4,3,4,5,5,2,3,3,2,3,2,3,3,5,4,4,4,4,3,3,3,5,4,5,4,5,Working Dogs,26 to 28 inches at the shoulder,80 to 140 pounds,10 to 11 years,"26,28",5
Bloodhound,https://dogtime.com/dog-breeds/bloodhound,3,1,2,4,2,3,3,5,5,5,5,5,3,4,5,1,3,3,4,4,3,4,5,3,4,5,4,5,4,5,3,Hound Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",80 to 110 pounds,11 to 15 years,"23,27",5
Blue Lacy,https://dogtime.com/dog-breeds/blue-lacy,3,1,1,4,2,4,5,3,4,3,2,2,3,3,2,5,4,2,3,5,5,5,4,5,5,4,5,5,5,5,4,Working Dogs,17 to 25 inches,25 to 50 pounds,12 to 16 years,"17,25",4
