breed,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,size
Chow Chow,4,3,4,3,3,2,3,4,5,4,4,3,3,1,1,5,4,3,4,3,5,4,2,2,5,2,5,4,3,4,4,4.0
Bocker,3,2,4,3,2,3,3,5,5,3,1,5,3,3,1,3,3,5,3,4,5,5,3,3,3,3,4,4,4,4,5,3.0
Bocker,4,3,5,3,2,5,3,4,4,4,2,4,3,1,2,2,5,4,4,3,3,4,3,3,3,3,4,5,3,5,5,4.0
Boglen Terrier,3,1,3,5,2,4,3,4,4,5,5,3,3,1,2,4,4,3,2,3,4,4,3,4,4,4,4,5,3,5,5,3.0
Cavachon,3,3,3,4,1,1,2,4,4,4,4,3,2,4,1,3,4,3,3,3,1,4,3,4,2,1,4,5,2,4,5,3.0
Chow Chow,4,4,3,3,1,2,3,4,5,4,3,5,3,2,1,1,4,2,3,4,3,4,3,1,4,2,4,5,2,5,5,5.0
Belgian Malinois,3,3,2,5,3,3,3,5,5,4,3,5,3,2,1,3,3,2,4,3,3,3,2,3,4,3,4,4,1,5,5,1.0
Bocker,3,2,5,5,3,3,3,5,5,4,3,3,3,3,4,4,5,4,2,4,5,4,3,2,3,4,5,5,1,4,5,3.0
Bocker,3,1,3,4,2,2,2,4,5,4,3,3,3,2,1,3,3,5,2,4,4,4,4,3,2,2,4,4,4,4,5,2.0
Chow Chow,4,1,4,4,1,4,3,4,4,4,5,3,3,3,1,4,4,4,2,3,5,3,3,3,4,4,5,4,5,3,4,5.0
Bocker,4,2,5,4,2,4,1,5,4,4,4,3,3,4,1,4,3,3,5,3,4,5,2,4,2,2,5,4,4,4,5,3.0
Cavapoo,4,3,3,4,2,4,3,4,4,4,3,3,3,2,2,5,1,3,1,4,1,4,3,1,3,3,4,5,4,4,5,3.0
Bluetick Coonhound,4,4,5,3,1,4,1,4,5,4,2,3,3,2,2,5,4,3,4,4,4,4,1,5,3,4,4,4,4,4,5,2.0
Bocker,3,2,4,4,3,1,3,3,5,4,2,3,3,3,1,3,3,4,4,3,5,4,3,4,2,3,4,4,3,5,5,5.0
Belgian Malinois,2,1,2,3,1,3,3,4,4,4,3,3,3,4,1,5,3,4,5,3,3,4,3,1,3,1,4,5,3,4,5,3.0
Chow Chow,4,2,4,4,3,4,3,3,5,4,3,3,3,1,2,4,4,1,4,3,3,5,3,4,4,5,4,2,3,4,5,4.0
Bichon Frise,4,4,2,3,1,4,3,3,4,5,4,3,3,3,2,3,4,4,2,3,4,5,3,4,5,2,2,5,2,4,5,3.0
Cesky Terrier,3,1,3,4,2,4,3,4,3,1,5,3,3,2,1,5,3,4,3,3,5,5,3,3,2,2,4,5,4,5,5,4.0
